Run,Condition,Reference,Average,Min,Max,Total Oligos,Prcnt 0 Reads,Insertion Average,%InsA,%InsC,%InsT,%InsG,Deletion Average,%DelA,%DelC,%DelT,%DelG,Substitution Average,%Sub AtoC,%Sub AtoG,%Sub AtoT,%Sub CtoA,%Sub CtoG,%Sub CtoT,%Sub GtoA,%Sub GtoC,%Sub GtoT,%Sub TtoA,%Sub TtoC,%Sub TtoG
59,A1_Imagene_65_R59-report,id8,36.31,0,142,21601,0.2,0.0681,20.2189,16.9239,16.4304,46.4249,0.6481,28.3932,27.2753,21.741,23.6939,1.2421,8.4754,6.6402,12.9179,12.0759,6.0163,5.6774,3.7002,4.5652,16.7611,5.361,12.3459,5.8498
59,A1_Imagene_65_R59-report,id15,18.57,0,50,7373,1.99,0.0647,21.9551,19.6742,19.764,38.6067,0.645,25.0703,23.8924,24.5665,26.6477,0.6192,7.2008,7.246,4.8418,9.7221,3.3617,3.776,9.0369,4.0198,10.5717,5.9755,30.5748,3.4188
60,A1_Imagene_65_Run_60-report,id8,101.27,0,345,21601,0.03,0.0691,19.9498,16.8663,16.4816,46.7022,0.6513,28.3972,27.2728,21.7565,23.6759,1.2336,10.1619,6.996,13.7459,15.9616,6.7398,5.1021,3.3473,5.2844,17.3891,7.5882,3.6606,5.9405
60,A1_Imagene_65_Run_60-report,id15,51.3,0,141,7373,1.68,0.0652,22.9315,19.9992,19.5648,37.5045,0.6447,24.9819,23.8982,24.4953,26.8192,0.6702,5.3285,1.9598,6.3491,12.2902,3.5883,2.9399,7.8587,5.0894,11.2128,9.7623,28.7431,4.5846
62,A1_Imagene_65_Run_62-report,id15,20.55,0,65,7373,1.95,0.0652,22.7488,19.9316,19.3983,37.9213,0.6576,25.1495,23.8444,24.3714,26.8339,0.5326,4.1672,2.1619,4.6649,10.0978,3.3147,3.6462,10.1267,4.67,10.1775,7.5085,35.7718,3.4401
62,A1_Imagene_65_Run_62-report,id8,41.75,0,147,21601,0.13,0.069,20.0571,17.029,16.3469,46.5655,0.6557,28.3635,27.303,21.7394,23.6986,1.0322,9.4697,7.881,14.06,13.8744,6.643,6.1768,3.8426,4.9848,18.9846,6.2934,4.2817,5.4343
57,A1_Imagene_65_Run57-report,id15,26.09,0,72,7373,2.08,0.0652,22.4763,20.4589,19.7864,37.2785,0.6503,25.0903,23.8266,24.4387,26.8422,1.0844,7.5537,1.7948,10.1123,12.2783,4.7334,1.8942,5.3616,5.3087,11.3627,13.427,17.9242,7.8324
57,A1_Imagene_65_Run57-report,id8,51.99,0,185,21601,0.1,0.0698,20.0996,17.0799,16.602,46.2184,0.6343,28.3745,27.2407,21.806,23.67,1.7374,11.6518,5.8665,15.4779,15.2088,7.095,3.7203,2.8095,5.0875,14.9502,9.6814,2.6319,7.5762
62,A10_Imageneshippingcontrol_na_Run_62-report,id15,3.18,0,14,7373,7.81,0.0628,23.6986,20.6164,18.1507,37.5342,0.6614,24.9688,23.743,24.4696,27.0358,0.5035,3.8002,2.0494,4.829,9.7575,2.2825,3.7987,10.3501,3.7512,9.8481,7.7901,38.0217,3.3491
62,A10_Imageneshippingcontrol_na_Run_62-report,id8,6.03,0,27,21601,1.84,0.069,19.7656,17.7009,15.8259,46.7076,0.6886,27.9622,27.5108,21.8378,23.7564,0.9699,9.5985,8.19,14.2255,13.1802,6.0763,6.3261,3.9728,4.7239,19.2794,6.3625,4.6164,5.2805
